,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points
bmb94857,belinda.bailey@univ.edu,3,Belinda,Bailey,60.0,80,74,80,55,80,76,100,64,70,83,90,44,50,45,70,50,60,58,60,83,100,95,100,87,100
nsb43944,nathan.bates@univ.edu,3,Nathan,Bates,68.0,80,67,80,69,80,72,100,61,70,80,90,33,50,64,70,55,60,55,60,71,100,76,100,82,100
mxb67936,michael.benton@univ.edu,3,Michael,Benton,54.0,80,66,80,68,80,65,100,50,70,63,90,49,50,52,70,48,60,46,60,78,100,91,100,91,100
bxb28023,bradley.bryan@univ.edu,3,Bradley,Bryan,55.0,80,65,80,63,80,86,100,68,70,86,90,44,50,69,70,48,60,47,60,96,100,82,100,66,100
sxc85021,scott.cervantes@univ.edu,3,Scott,Cervantes,51.0,80,70,80,65,80,78,100,65,70,68,90,45,50,66,70,55,60,56,60,60,100,100,100,89,100
jgc21028,jill.clark@univ.edu,3,Jill,Clark,70.0,80,71,80,52,80,96,100,56,70,71,90,36,50,55,70,53,60,50,60,62,100,94,100,88,100
lxd16906,luke.davidson@univ.edu,3,Luke,Davidson,49.0,80,77,80,77,80,94,100,45,70,69,90,40,50,53,70,55,60,55,60,92,100,62,100,60,100
rxd55884,rachel.dennis@univ.edu,3,Rachel,Dennis,73.0,80,67,80,75,80,65,100,43,70,69,90,44,50,52,70,51,60,41,60,72,100,98,100,86,100
axd67070,amy.dunn@univ.edu,3,Amy,Dunn,72.0,80,61,80,50,80,90,100,47,70,72,90,43,50,49,70,48,60,50,60,93,100,96,100,86,100
nxe44872,nicole.edwards@univ.edu,3,Nicole,Edwards,62.0,80,76,80,62,80,79,100,64,70,74,90,37,50,58,70,58,60,51,60,89,100,63,100,65,100
pxe53402,patricia.evans@univ.edu,3,Patricia,Evans,57.0,80,74,80,69,80,64,100,57,70,66,90,40,50,69,70,44,60,48,60,72,100,91,100,68,100
jgf12345,john.g.2.flower@univ.edu,3,Gregg,Flower,69.0,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,72,100,83,100,77,100
axf16145,ashlee.foster@univ.edu,3,Ashlee,Foster,79.0,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,73,100,61,100,74,100
llf55044,linda.friedman@univ.edu,3,Linda,Friedman,49.0,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,64,100,86,100,70,100
abg77872,april.greer@univ.edu,3,April,Greer,61.0,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,74,100,71,100,94,100
dxj78877,dylan.johnson@univ.edu,3,Dylan,Johnson,61.0,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,72,100,64,100,99,100
pmj37756,paul.johnson@univ.edu,3,Paul,Johnson,73.0,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,84,100,80,100,94,100
rsj94156,robert.johnston@univ.edu,3,Robert,Johnston,74.0,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,98,100,61,100,74,100
sxj49423,sarah.jones@univ.edu,3,Sarah,Jones,62.0,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,89,100,68,100,94,100
dsl24347,danielle.lee@univ.edu,3,Danielle,Lee,69.0,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,62,100,70,100,90,100
tgl37922,tammy.leon@univ.edu,3,Tammy,Leon,63.0,80,75,80,63,80,70,100,64,70,87,90,33,50,55,70,47,60,42,60,88,100,90,100,87,100
kxm62826,kimberly.mccall@univ.edu,3,Kimberly,Mccall,61.0,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,79,100,98,100,60,100
axm26865,anthony.miller@univ.edu,3,Anthony,Miller,77.0,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,73,100,68,100,93,100
bxm17365,brett.miranda@univ.edu,3,Brett,Miranda,74.0,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,82,100,94,100,95,100
njp08545,nicole.patterson@univ.edu,3,Nicole,Patterson,66.0,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,96,100,91,100,95,100
jxp06435,jeffrey.perez@univ.edu,3,Jeffrey,Perez,50.0,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,67,100,81,100,95,100
